strID,strDST,strSEC,strNM,strAD1,strAD2,StrCM,strCT,strPC,strGR,strILEn,strILFr,strURL,intBuilt,xcoord,ycoord
"4158",DSF-NE,Francophone,Le Domaine Étudiant,"636, rue Principale",NULL,Petit-Rocher,Gloucester,E8J 1T7,4-8,French,Français,http://de.nbed.nb.ca/,"1977",2558426.9036307,7642544.87558687
"3601",ASD-N,Anglophone,Jacquet River School,3970 Main Street,NULL,Belledune,Restigouche,E8G 2P1,"Kindergarten, 1-8",English,Anglais,http://jacquet-river-school.nbed.nb.ca,"1967",2537004.41247475,7657773.73000106
"4157",DSF-NE,Francophone,Carrefour Étudiant,"795, rue École",NULL,Beresford,Gloucester,E8K 1V4,"Maternelle, 1-8",French,Français,http://carrefouretudiant.nbed.nb.ca,"1977",2559864.72801604,7634313.07781921
"4207",ASD-N,Anglophone,Superior Middle School,560 Duke Street,NULL,Bathurst,Gloucester,E2A 2X5,6-8,"English, French Immersion","Anglais, Immersion française",http://superiormiddleschool.nbed.nb.ca,"1988",2562482.38664248,7625043.45425858
"4260",ASD-N,Anglophone,Parkwood Heights Elementary School,1125 Highland Avenue,NULL,Bathurst,Gloucester,E2A 4P7,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://parkwood.nbed.nb.ca,"1981",2560482.28846462,7626353.1946758
"4156",DSF-NE,Francophone,École secondaire Népisiguit,"915, rue Sainte-Anne",NULL,Bathurst,Gloucester,E2A 6X1,9-12,French,Français,http://esn.nbed.nb.ca,"1970",2561339.72539341,7625423.24369893
"4159",DSF-NE,Francophone,Place-des-Jeunes,"975, rue Sainte-Anne",NULL,Bathurst,Gloucester,E2A 6X1,6-8,French,Français,http://pdj.nbed.nb.ca,"1986",2561209.66792129,7625424.62673893
"4161",DSF-NE,Francophone,Cité de l'Amitié,"1300, avenue St-Joseph",NULL,Bathurst,Gloucester,E2A 3R5,"Maternelle, 1-5",French,Français,http://citedelamitie.wordpress.com,"1994",2561178.12859326,7626791.1219722
"0858",ASD-N,Anglophone,Gretna Green School,15 Gretna Green Drive,NULL,Miramichi,Northumberland,E1V 5V6,"Kindergarten, 1-8","English, French Immersion","Anglais, Immersion française",http://gretnagreen.nbed.nb.ca,"1980",2574382.00175756,7558965.56683704
"0859",ASD-N,Anglophone,North & South Esk Elementary School,36 Northwest Road,NULL,Sunny Corner,Northumberland,E9E 1J4,"Kindergarten, 1-6","English, French Immersion","Anglais, Immersion française",http://nsee.nbed.nb.ca,"1983",2552055.06746477,7550162.82788484
"0825",ASD-N,Anglophone,North & South Esk Regional High School,40 Northwest Road,NULL,Sunny Corner,Northumberland,E9E 1J4,7-12,English,Anglais,http://nser.nbed.nb.ca,"1992",2552263.56461696,7550428.00497308
"0752",DSF-NE,Francophone,École René-Chouinard,"3, chemin Drisdelle Settlement",NULL,Lagaceville,Northumberland,E9G 2N3,"Maternelle, 1-8",French,Français,http://renechouinard.nbed.nb.ca,"1986",2599759.4822292,7581687.5506022
"0761",DSF-NE,Francophone,Centre scolaire communautaire La fontaine,"700, rue Principale",NULL,Néguac,Northumberland,E9G 1N4,"Maternelle, 1-12",French,Français,http://cslf.nbed.nb.ca/,"1993",2607480.55577239,7583557.40929194
"0802",ASD-N,Anglophone,Tabusintac Community School,66 Hierlihy Road,NULL,Tabusintac,Northumberland,E9H 1Z1,"Kindergarten, 1-8",English,Anglais,http://tabusintacschool.nbed.nb.ca,"2013",2611941.06252854,7593423.61320513
"1025",ASD-N,Anglophone,Dr. Losier Middle School,124 Henderson Street,NULL,Miramichi,Northumberland,E1N 2S2,6-8,"English, French Immersion","Anglais, Immersion française",http://drlosier.nbed.nb.ca,"1983",2579096.82403395,7558809.83627689
"1020",ASD-N,Anglophone,James M. Hill Memorial High School,128 Henderson Street,NULL,Miramichi,Northumberland,E1N 2S2,9-12,"English, French Immersion","Anglais, Immersion française",http://jmh.nbed.nb.ca,"1970",2579302.08829014,7558659.01490075
"0811",ASD-N,Anglophone,Miramichi Valley High School,345 McKenna Avenue,NULL,Miramichi,Northumberland,E1V 3S9,9-12,"English, French Immersion","Anglais, Immersion française",http://mvhs.nbed.nb.ca,"1972",2569724.53679322,7556739.95045096
"5301",DSF-S,Francophone,École Carrefour Beausoleil,"300, chemin Beaverbrook",NULL,Miramichi,Northumberland,E1V 1A1,"Maternelle, 1-12",French,Français,http://beausoleil.nbed.nb.ca,"1985",2569368.12668089,7556976.74264318
"1017",ASD-N,Anglophone,Nelson Rural School,26 St. Patricks Drive,NULL,Miramichi,Northumberland,E1N 5T9,"Kindergarten, 1-8","English, French Immersion","Anglais, Immersion française",http://nelsonrural.nbed.nb.ca,"1994",2571959.2046993,7553651.77406409
"1357",DSF-S,Francophone,École Anna-Malenfant,"500, rue Centrale Nord",NULL,Dieppe,Westmorland,E1A 6V7,"Maternelle, 1-5",French,Français,http://anna-malenfant.nbed.nb.ca,"1992",2637771.2982006,7455519.62165269
"1358",DSF-S,Francophone,École Grande-Digue,"365, Route 530",NULL,Grande-Digue,Kent,E4R 5C8,"Maternelle, 1-8",French,Français,http://grande-digue.nbed.nb.ca,"1984",2648886.47056295,7478901.90545047
"1553",ASD-E,Anglophone,Shediac Cape School,3375 Route 134,NULL,Shediac Cape,Westmorland,E4P 3G4,"Kindergarten, 1-8","English, French Immersion","Anglais, Immersion française",http://shediaccape.nbed.nb.ca,"1997",2649074.49757112,7472221.87728425
"1348",DSF-S,Francophone,École Amirault,"401, chemin Melanson",NULL,Dieppe,Westmorland,E1A 1A5,"Maternelle, 1-2",French,Français,http://amirault.nbed.nb.ca,"1969",2637849.20002467,7453712.69134701
"1335",DSF-S,Francophone,École Sainte-Thérèse,"500, rue Notre-Dame",NULL,Dieppe,Westmorland,E1A 5C2,"Maternelle, 1-5",French,Français,http://ste-therese.nbed.nb.ca,"2010",2635294.75010229,7456806.57307789
